Name,IP,NetMask,Gateway,Dns1,Dns2,Type
GREG-MSI3,,,,,,
HADR1,,,,,,
HADR2,,,,,,
HOTFIX,,,,,,
HOTFIXIWS,,,,,,
HPALM,,,,,,
HPALM-WIN32,,,,,,
HPUFT,,,,,,
HQAUTO,,,,,,
HQ-AUTOMATION,,,,,,
IC14-VMLAB3,,,,,,
IDP,,,,,,
IE11WIN8-1,,,,,,
INTEGRATION5,,,,,,
INTEGRATION6,,,,,,
INTEGRATION7,,,,,,
IPAWS-NDS1,,,,,,
IPAWS-NDS2,,,,,,
IPAWS-NDS29,,,,,,
IPAWS-NDSDB,,,,,,
IPAWS-SP4,,,,,,
IPAWS-SP4-CLONE,,,,,,
ITZIKDEV2,,,,,,
IWS,,,,,,
IWS1-CHF2,,,,,,
IWS3-CHF3,,,,,,
IWS87CP1,,,,,,
IWS-APP1,,,,,,
IWS-APP2,,,,,,
IWSCAP,,,,,,
IWSCAP2,,,,,,
IWSCASE13478,,,,,,
IWS-CONNECT,,,,,,
IWS-DB,,,,,,
IWS-DEV-85R3SP1,,,,,,
IWSNCOVER,,,,,,
IWS-ORGDEV,,,,,,
IWSPERF1,,,,,,
IWSPERF2,,,,,,
IWSPERF-APP1,,,,,,
IWSPERF-APP2,,,,,,
IWSPERF-DB,,,,,,
IWS-PROXY,,,,,,
IWSQA1-APP1,,,,,,
IWSQA1-APP2,,,,,,
IWSQA1-DB,,,,,,
IWSQA2-APP2,,,,,,
IWSQA2-BD,,,,,,
IWSQA2-DB,,,,,,
IWSQA3-APP1,,,,,,
IWSQA3-APP2,,,,,,
IWSQA3-DB,,,,,,
IWSQA87CP1,,,,,,
IWSQA-APP2,,,,,,
IWS-QA-INTG4,,,,,,
IWSSTIGAPP,,,,,,
IWSSTIGDB,,,,,,
JBUILD1,,,,,,
JBUILD2,,,,,,
JENKINS,,,,,,
JENKINS-SLAVE,,,,,,
JIM86R3,,,,,,
JMETER1,,,,,,
JMETER2-PERF,,,,,,
JMETER-PERF,,,,,,
JOSHNA,,,,,,
JPAVLOVCAK,,,,,,
kafka1,,,,,,
kafka2,,,,,,
KAFKASMS-APP1,,,,,,
KAFKASMS-APP2,,,,,,
KAFKASMS-APP3,,,,,,
KAFKASMS-DB1,,,,,,
KASANE,,,,,,
KASANE1,,,,,,
KIMAYAFS,,,,,,
LONGEVITY,,,,,,
LONGEVITY-87,,,,,,
LRCONTROLLER,,,,,,
LRGENERATOR,,,,,,
LRGENERATOR2,,,,,,
LRSANTOSH,,,,,,
M-110MWZ1,,,,,,
M1DEV,,,,,,
macmini1,,,,,,
MADHU-87-APP,,,,,,
MADHU-87-DB,,,,,,
MIGRATOR,,,,,,
MIGRATOR-CLEAN,,,,,,
MININT-1EDV1A0,,,,,,
MININT-5148O7H,,,,,,
MININT-RDLC9LF,,,,,,
MIRROR1,,,,,,
MIRROR1-PERF,,,,,,
MIRROR2-PERF,,,,,,
MOBILEBETAIWS,,,,,,
MOBILEBETAPSS,,,,,,
MOBILEDEV,,,,,,
MOBILEQAIWS,,,,,,
MOBILEQAIWS-DB,,,,,,
MOBILEQAPSS,,,,,,
MOBILEQAPSSAPP1,,,,,,
MOBILEQAPSSDB,,,,,,
MONITOR,,,,,,
MQABETAPSS-APP,,,,,,
MQABETAPSS-DB,,,,,,
MQAPSS-APP,,,,,,
MQAPSS-DB,,,,,,
MSI-APP,,,,,,
MSI-CLEAN,,,,,,
MSI-DB,,,,,,
MSI-UPGRADE,,,,,,
NAVY,,,,,,
NAVYAPP,,,,,,
NAVY-APP,,,,,,
NAVY-DB,,,,,,
NAVYDB3,,,,,,
NCODECENTRAL,,,,,,
NDS280-DEV,,,,,,
NDS2852-STIG,,,,,,
NDS-DEV-2012,,,,,,
NDS-DEV-PERF,,,,,,
NDS-LYNC,,,,,,
NEW-TEMPLATE,,,,,,
ODC-AUTOMATION,,,,,,
ODCDEV1,,,,,,
ODCDEV10,,,,,,
ODCDEV11,,,,,,
ODCDEV12,,,,,,
ODCDEV13,,,,,,
ODCDEV14,,,,,,
ODCDEV15,,,,,,
ODCDEV16,,,,,,
ODCDEV17,,,,,,
ODCDEV18,,,,,,
ODCDEV19,,,,,,
ODCDEV2,,,,,,
ODCDEV22IE8,,,,,,
ODCDEV23IE10,,,,,,
ODCDEV24,,,,,,
ODCDEV25,,,,,,
ODCDEV26IE9,,,,,,
ODCDEV3,,,,,,
ODCDEV4,,,,,,
ODCDEV5,,,,,,
ODCDEV6,,,,,,
ODCDEV7,,,,,,
ODCDEV8,,,,,,
ODCDEV9,,,,,,
ODCDEV-ACCESS,,,,,,
ODCDEV-AUTO,,,,,,
ODCDEV-AUTO1,,,,,,
ODCDEV-INTGR,,,,,,
ODCQA1,,,,,,
OLTP,,,,,,
OPM-QA,,,,,,
OPM-QA2,,,,,,
PARTIIM,,,,,,
PAVELSANDBOX,,,,,,
PAVELSANDBOX2,,,,,,
PEGASUS-DOCS,,,,,,
PEGASUSR2,,,,,,
PERF-POC,,,,,,
PERFTEST-DB,,,,,,
PERFTESTDB2,,,,,,
PFPA,,,,,,
PFPA-DB,,,,,,
PILOT,,,,,,
PIVCA,,,,,,
PIVCOMBO,,,,,,
PLATFORMDEV,,,,,,
PLATFORMDEV2012,,,,,,
PROVISIONDEV,,,,,,
PSSCOMBO1,,,,,,
PSSCOMBO2,,,,,,
PSSDEV10,,,,,,
PSSDEV2,,,,,,
PSSDEV3,,,,,,
PSSDEV4,,,,,,
PSSDEV5,,,,,,
PSSDEV6,,,,,,
PSSDEV7,,,,,,
PSSDEV8,,,,,,
PSSDEV9,,,,,,
PSSPERF-APP1,,,,,,
PSSPERF-APP2,,,,,,
PSSPERF-APP3,,,,,,
PSSPERF-COMBO,,,,,,
PSSPERF-DB1,,,,,,
PSSPERF-DB2,,,,,,
PSSQA1-APP1,,,,,,
PSSQA1-APP2,,,,,,
PSSQA1-APP3,,,,,,
PSSQA1-DB1,,,,,,
PSSQA1-DB2,,,,,,
PSSQA2-APP1,,,,,,
PSSQA2-APP2,,,,,,
PSSQA2-DB1,,,,,,
PSSQA2-DB2,,,,,,
PSSQA3-APP1,,,,,,
PSSQA3-APP2,,,,,,
PSSQA3-APP3,,,,,,
PSSQA3-DB,,,,,,
PSSTEMPL-APP,,,,,,
PSSTEMPL-DB2,,,,,,
PSSTEST,,,,,,
PSSTEST1,,,,,,
PSSUPGRADE-APP1,,,,,,
PSSUPGRADE-APP2,,,,,,
PSSUPGRADE-APP3,,,,,,
PSSUPGRADE-DB1,,,,,,
PSSUPGRADE-DB2,,,,,,
PSSUPGRADE-IWS,,,,,,
PSSUPGRADE-IWS2,,,,,,
PSTRAIN11,,,,,,
QA1IWS,,,,,,
QA1PSS,,,,,,
QA-IWS1,,,,,,
QA-IWS2,,,,,,
QA-IWS3,,,,,,
QA-IWS4,,,,,,
QA-IWS5,,,,,,
QA-IWS88,,,,,,
QAIWSSP3,,,,,,
QALAB1,,,,,,
QALAB2,,,,,,
QA-NDS1,,,,,,
QA-PSS3,,,,,,
QA-SEL-BVT-CHRM,,,,,,
QA-SEL-BVT-FF,,,,,,
QA-SEL-BVT-HUB,,,,,,
QA-SEL-BVT-IE,,,,,,
QA-SEL-RR,,,,,,
QA-SEL-RR-CHRM,,,,,,
QA-SEL-RR-FF,,,,,,
QA-SEL-RR-IE,,,,,,
QA-SEL-RR-IE1,,,,,,
QA-SEL-RR-IE2,,,,,,
QQ00-PERFAMD1,,,,,,
QQ12-QAAP01,,,,,,
QQ24-DGDB1,,,,,,
QQ24-DGR2-1,,,,,,
QQ24-OPM1,,,,,,
QQ24-PERFTEST10,,,,,,
QQ24-PERFTEST11,,,,,,
QQ24-PERFTEST2,,,,,,
QQ24-PERFTEST4,,,,,,
QQ24-PERFTEST6,,,,,,
QQ24-PERFTEST7,,,,,,
QQ24-PERFTEST9,,,,,,
QUAN,,,,,,
QUAN-DB,,,,,,
R3SP1,,,,,,
RAM-86R2,,,,,,
RAM-SP4CP1,,,,,,
RODBAPP,,,,,,
RODBDB,,,,,,
RYAN-WIN2008,,,,,,
SAND-SELHUB,,,,,,
SAND-SELNODE,,,,,,
SANGEETHADEV,,,,,,
SCALE-IWS-APP1,,,,,,
SCALE-IWS-APP2,,,,,,
SCALE-IWS-DB,,,,,,
SCALE-PSS1,,,,,,
SCALE-PSS2,,,,,,
SCALE-PSS3,,,,,,
SDK87CP1,,,,,,
SELNCOVER,,,,,,
SESSION,,,,,,
SHIG,,,,,,
SHOWCASE,,,,,,
SHOWCASE-PSS,,,,,,
SITUATION,,,,,,
SITUATION-DB,,,,,,
SKYPE4BIZ,,,,,,
SMS1-2012,,,,,,
SMS2-2012,,,,,,
SMSQA1,,,,,,
SMSQA2,,,,,,
SOURCE,,,,,,
SOUTHCOM,,,,,,
SOUTHCOM-DB,,,,,,
SP2CP1QA,,,,,,
SP3CP1,,,,,,
SP4CP1-CLEAN,,,,,,
SP4CP1-CLEANDB,,,,,,
SP4CP1MAS,,,,,,
SP4CP1MAS-1,,,,,,
SP4MOBILE,,,,,,
SQLREPTEST1,,,,,,
SQLREPTEST2,,,,,,
SSOTEST1,,,,,,
SSOTEST2,,,,,,
SSRS,,,,,,
STIG-87,,,,,,
STIG-NDS,,,,,,
SUPPORTLYNC2013,,,,,,
SUPPORTNDS12,,,,,,
SUPPORTOPM,,,,,,
SUPPORTPSS,,,,,,
SUPPORTTAS,,,,,,
SUPPORTVCENTER,,,,,,
SUPPORTWINDOWS1,,,,,,
SURENDRA,,,,,,
TAININGDB,,,,,,
TAMU,,,,,,
TAMU1,,,,,,
TAMU2,,,,,,
TAMU-DB,,,,,,
TAMU-STORAGE,,,,,,
TAS-1,,,,,,
TAS-2,,,,,,
TAS-DEV,,,,,,
TAS-DEV-CLEAN,,,,,,
TAS-QA-CLEAN,,,,,,
TAS-QA-CLEAN1,,,,,,
TAS-QA-CLEAN2,,,,,,
TAS-TSS,,,,,,
TAS-TTS,,,,,,
TEMP-PATCH,,,,,,
TEST-2012,,,,,,
TESTCON87CP1,,,,,,
TESTCONNECT87,,,,,,
TESTCONNECT88,,,,,,
TESTCONPSSAPP,,,,,,
TESTCONPSSDB,,,,,,
TP-JMETER,,,,,,
TP-PSS,,,,,,
TRAININGAPP1,,,,,,
TRAININGDB,,,,,,
TRAININGNDS,,,,,,
TRAININGNDSDB,,,,,,
UADEV,,,,,,
UADEV2012,,,,,,
UADEV-OLD,,,,,,
UCLATEST,,,,,,
UCMBLAST,,,,,,
UFTSERVER,,,,,,
UPGRADEAPPLEAPP,,,,,,
UPGRADEAPPLEDB,,,,,,
UPGRADEAPPLENDS,,,,,,
USMC,,,,,,
USMC-DB,,,,,,
VA,,,,,,
VA-DB,,,,,,
VALIDATION,,,,,,
V-BUILD_181,,,,,,
V-BUILD_183,,,,,,
V-BUILD_184,,,,,,
V-BUILD_185,,,,,,
V-BUILD_188,,,,,,
V-BUILD-187,,,,,,
V-BUILD-190,,,,,,
V-BUILD-191,,,,,,
V-BUILD-193,,,,,,
V-BUILD-194,,,,,,
V-BUILDDSW,,,,,,
VCENTER,,,,,,
V-INTDEV2K8X86,,,,,,
V-INTEGRATION2,,,,,,
V-ITZIKDEV2K3,,,,,,
VMAENG,,VMAENG,,,,
VMWARECONVERTER,,,,,,
V-QA2K3TEST4,,,,,,
V-QA2K3X86-CI2,,,,,,
V-WS08R2X64,,,,,,
WANEM-CLIENT,,,,,,
WANEM-SERVER,,,,,,
WIN2008-TO-STIG,,,,,,
WIN2K3NDS,,,,,,
WIN2K8R2_ITZIK,,,,,,
WIN2K8R2_MOHIT1,,,,,,
WIN2K8R2_MOHIT2,,,,,,
WIN2K8R2ALLIN1,,,,,,
WIN7PROFR,,,,,,
WIN-8HE6A1HTVCH,,,,,,
WINSQL2012,,,,,,
WSQL2012FSW,,,,,,
WSQL2012NODEA,,,,,,
WSQL2012NODEB,,,,,,
XOCHF2A,,,,,,
XORIANT,,,,,,
XORIANTCHF2,,,,,,
YOUSONG,,,,,,
YU,,,,,,
